Tripid,City,Stationid,Truckid,Wastecollected,TruckType,Date
23475,Brasilia,71,133,33.36,Volvo,2019-03-09
23476,Brasilia,46,162,34.88,Scania,2019-03-09
23477,Brasilia,40,134,34.69,Scania,2019-03-09
23478,Brasilia,43,148,30.01,Scania,2019-03-09
23479,Brasilia,46,169,37.47,Volvo,2019-03-09
23480,Brasilia,71,126,40.33,Scania,2019-03-09
23481,Brasilia,46,161,41.92,Volvo,2019-03-09
23482,Brasilia,97,120,30.6,Scania,2019-03-09
23483,Brasilia,40,137,43.56,Volvo,2019-03-09
23484,Brasilia,97,120,31.87,Scania,2019-03-09
23485,Brasilia,71,125,32.37,Volvo,2019-03-09
23486,Brasilia,71,125,41.89,Volvo,2019-03-09
23487,Brasilia,46,161,35.7,Volvo,2019-03-09
23488,Brasilia,97,121,43.25,Volvo,2019-03-09
23489,Brasilia,43,148,34.31,Scania,2019-03-09
23490,Brasilia,77,160,36.68,Scania,2019-03-09
23491,Brasilia,77,152,35.93,Scania,2019-03-09
23492,Brasilia,97,121,38.99,Volvo,2019-03-09
23493,Brasilia,40,136,36.72,Scania,2019-03-09
23494,Brasilia,71,133,38.65,Volvo,2019-03-09
23495,Brasilia,43,144,32.98,Scania,2019-03-09
23496,Brasilia,46,161,39.5,Volvo,2019-03-09
23497,Brasilia,43,143,34.09,Volvo,2019-03-09
23498,Brasilia,43,148,43.11,Scania,2019-03-09
23499,Brasilia,40,134,43,Scania,2019-03-09
23500,Brasilia,43,144,34.21,Scania,2019-03-09
23501,Brasilia,71,130,35.87,Scania,2019-03-09
23502,Brasilia,97,115,30.18,Volvo,2019-03-09
23503,Brasilia,71,130,38.81,Scania,2019-03-09
23504,Brasilia,43,145,41.67,Volvo,2019-03-09
23505,Brasilia,46,162,38.98,Scania,2019-03-09
23506,Brasilia,43,144,36.8,Scania,2019-03-09
23507,Brasilia,71,126,35.25,Scania,2019-03-09
23508,Brasilia,71,125,44.95,Volvo,2019-03-09
23509,Brasilia,40,137,44.53,Volvo,2019-03-09
23510,Brasilia,46,169,43.42,Volvo,2019-03-09
23511,Brasilia,43,143,31.06,Volvo,2019-03-09
23512,Brasilia,97,115,43.2,Volvo,2019-03-09
23513,Brasilia,97,120,37.84,Scania,2019-03-09
23514,Brasilia,46,168,43.57,Scania,2019-03-09
23515,Brasilia,77,152,33.78,Scania,2019-03-09
23516,Brasilia,40,137,43.23,Volvo,2019-03-09
23517,Brasilia,43,145,31.49,Volvo,2019-03-09
23518,Brasilia,97,122,37.24,Scania,2019-03-09
23519,Brasilia,71,130,38.23,Scania,2019-03-09
23520,Brasilia,40,135,30.07,Volvo,2019-03-09
23521,Brasilia,97,115,39.98,Volvo,2019-03-09
23522,Brasilia,40,135,33.23,Volvo,2019-03-09
23523,Brasilia,77,152,30.9,Scania,2019-03-09
23524,Brasilia,77,150,32.63,Scania,2019-03-09
23525,Brasilia,43,143,31.77,Volvo,2019-03-09
